CustomerID,recency_days,purchase_count,total_spent,avg_order_value,churn
12346.0,325,1,77183.6,77183.6,1
12347.0,1,7,4310.0,615.7142857142857,0
12348.0,74,4,1797.24,449.31,0
12349.0,18,1,1757.55,1757.55,0
12350.0,309,1,334.40000000000003,334.40000000000003,1
12352.0,35,8,2506.04,313.255,0
12353.0,203,1,89.0,89.0,1
12354.0,231,1,1079.4,1079.4,1
12355.0,213,1,459.4,459.4,1
12356.0,22,3,2811.43,937.1433333333332,0
12357.0,32,1,6207.67,6207.67,0
12358.0,1,2,1168.06,584.03,0
12359.0,57,4,6372.58,1593.145,0
12360.0,51,3,2662.06,887.3533333333334,0
12361.0,286,1,189.9,189.9,1
12362.0,2,10,5226.2300000000005,522.623,0
12363.0,109,2,552.0,276.0,1
12364.0,7,4,1313.1,328.275,0
12365.0,290,2,641.38,320.69,1
12367.0,3,1,168.9,168.9,0
12370.0,50,4,3545.69,886.4225,0
12371.0,44,2,1887.96,943.98,0
12372.0,71,3,1298.04,432.68,0
12373.0,310,1,364.6,364.6,1
12374.0,24,1,742.9300000000001,742.9300000000001,0
12375.0,10,2,457.5,228.75,0
12377.0,314,2,1628.12,814.0600000000001,1
12378.0,129,1,4008.62,4008.62,1
12379.0,81,2,852.24,426.12,0
12380.0,21,4,2724.81,681.2025,0
12381.0,4,5,1845.31,369.062,0
12383.0,184,5,1850.56,370.112,1
12384.0,28,2,585.27,292.635,0
12386.0,337,2,401.9,200.95,1
12388.0,15,6,2780.6600000000003,463.4433333333334,0
12390.0,79,1,549.84,549.84,0
12391.0,21,1,460.89,460.89,0
12393.0,71,4,1582.6,395.65,0
12394.0,63,2,1272.48,636.24,0
12395.0,18,12,3018.63,251.5525,0
12397.0,35,2,2409.9,1204.95,0
12398.0,45,1,1635.66,1635.66,0
12399.0,118,4,1108.65,277.1625,1
12401.0,302,1,84.3,84.3,1
12402.0,322,1,225.6,225.6,1
12403.0,49,1,427.7,427.7,0
12405.0,148,1,1710.39,1710.39,1
12406.0,21,2,3415.3,1707.65,0
12407.0,49,5,1708.12,341.624,0
12408.0,32,5,2888.55,577.71,0
12409.0,78,3,11072.67,3690.89,0
12410.0,308,2,693.33,346.665,1
12412.0,74,3,1226.88,408.96,0
12413.0,66,3,758.1,252.7,0
12414.0,216,3,562.4100000000001,187.47000000000003,1
12415.0,23,21,124914.53,5948.310952380953,0
12417.0,2,9,3649.1,405.4555555555555,0
12418.0,112,1,668.58,668.58,1
12420.0,63,1,600.39,600.39,0
12421.0,15,4,807.04,201.76,0
12422.0,95,3,803.5600000000001,267.8533333333333,1
