CustomerID,purchase_count,total_spent,recency_days,avg_order_value,churn
12346.0,1,77183.6,133,77183.6,1
12347.0,3,1823.43,54,607.8100000000001,0
12348.0,3,1487.24,56,495.74666666666667,1
12350.0,1,334.40000000000003,118,334.40000000000003,1
12352.0,5,1561.81,70,312.36199999999997,1
12353.0,1,89.0,12,89.0,1
12354.0,1,1079.4,40,1079.4,1
12355.0,1,459.40000000000003,22,459.40000000000003,1
12356.0,2,2753.08,53,1376.54,1
12359.0,2,2386.41,113,1193.205,0
12360.0,1,1083.58,8,1083.58,0
12361.0,1,189.9,95,189.9,1
12362.0,2,974.34,33,487.17,0
12363.0,1,299.1,50,299.1,0
12365.0,2,641.38,99,320.69,1
12370.0,3,2806.41,82,935.4699999999999,1
12372.0,2,914.9200000000001,20,457.46000000000004,1
12373.0,1,364.6,119,364.6,1
12377.0,2,1628.1200000000001,123,814.0600000000001,1
12383.0,4,1751.11,46,437.7775,0
12386.0,2,401.9,145,200.95,1
12388.0,3,766.25,83,255.41666666666666,0
12393.0,3,1061.1000000000001,53,353.70000000000005,1
12394.0,1,381.08,25,381.08,1
12395.0,6,1569.72,19,261.62,0
12399.0,2,768.9499999999999,21,384.47499999999997,0
12401.0,1,84.3,111,84.3,1
12402.0,1,225.60000000000002,131,225.60000000000002,1
12407.0,2,495.96,43,247.98,0
12408.0,2,837.59,68,418.795,0
12410.0,2,693.33,116,346.665,1
12413.0,2,563.9,44,281.95,1
12414.0,3,562.4100000000001,25,187.47000000000003,1
12415.0,7,50883.9,11,7269.128571428571,0
12417.0,4,1461.08,33,365.27,0
12421.0,1,157.45,127,157.45,0
12422.0,1,238.5,132,238.5,0
12423.0,5,1366.77,8,273.354,0
12426.0,1,582.73,2,582.73,1
12427.0,1,303.5,179,303.5,1
12428.0,6,6310.54,50,1051.7566666666667,0
12429.0,2,1719.48,35,859.74,0
12431.0,7,3158.53,8,451.21857142857147,0
12433.0,2,3787.12,174,1893.56,1
12434.0,1,286.25,68,286.25,1
12435.0,1,3978.9900000000002,75,3978.9900000000002,1
12437.0,8,1975.09,6,246.88625,0
12441.0,1,173.55,174,173.55,1
12447.0,1,476.49,51,476.49,1
12451.0,2,5307.82,26,2653.91,1
12455.0,2,1698.9,103,849.45,0
12456.0,1,940.1700000000001,62,940.1700000000001,0
12457.0,3,1067.25,41,355.75,1
12458.0,1,441.92,92,441.92,1
12462.0,1,762.11,111,762.11,1
12463.0,2,647.95,14,323.975,0
12464.0,4,544.85,8,136.2125,0
12468.0,1,220.59,124,220.59,0
12471.0,13,8397.32,18,645.9476923076923,0
12472.0,3,3048.84,75,1016.2800000000001,0
12474.0,8,2719.13,8,339.89125,0
12476.0,5,2445.1,26,489.02,0
12477.0,2,4576.97,47,2288.485,1
12480.0,2,1587.27,75,793.635,0
12481.0,7,3100.55,12,442.9357142857143,0
12483.0,4,994.6600000000001,13,248.66500000000002,0
12484.0,1,1138.67,144,1138.67,0
12489.0,1,334.93,144,334.93,1
12490.0,2,1195.72,22,597.86,0
12493.0,1,232.5,5,232.5,0
12494.0,4,715.64,4,178.91,0
12500.0,4,1210.2,74,302.55,0
12501.0,1,2169.39,144,2169.39,1
12502.0,3,1842.65,25,614.2166666666667,0
12506.0,1,73.5,40,73.5,1
12507.0,1,446.16,106,446.16,0
12509.0,1,176.5,92,176.5,1
12510.0,1,681.05,133,681.05,0
12514.0,1,1017.6800000000001,75,1017.6800000000001,1
12515.0,1,383.7,161,383.7,1
12520.0,3,1697.56,12,565.8533333333334,0
12523.0,4,500.19,60,125.0475,0
12524.0,5,2833.38,12,566.676,0
12527.0,2,284.92,102,142.46,1
12528.0,2,771.66,84,385.83,0
12530.0,2,805.0,41,402.5,0
12539.0,3,4517.69,70,1505.8966666666665,1
12540.0,6,6144.53,0,1024.0883333333334,0
12541.0,1,312.4,88,312.4,0
12545.0,1,628.15,67,628.15,1
12547.0,2,207.8,5,103.9,1
12551.0,1,168.0,165,168.0,1
12553.0,5,1734.6200000000001,12,346.92400000000004,0
12557.0,3,4854.62,64,1618.2066666666667,0
12559.0,2,561.71,118,280.855,1
12561.0,1,238.85,110,238.85,1
12562.0,1,444.96000000000004,6,444.96000000000004,0
12564.0,1,456.90000000000003,69,456.90000000000003,1
12565.0,1,145.92000000000002,96,145.92000000000002,1
12567.0,4,3884.32,9,971.08,0
12569.0,5,1164.32,26,232.86399999999998,0
12573.0,1,160.54000000000002,35,160.54000000000002,1
12574.0,1,218.45000000000002,123,218.45000000000002,1
12576.0,2,421.65000000000003,26,210.82500000000002,0
12577.0,1,195.89,167,195.89,1
12578.0,1,1608.66,138,1608.66,1
12580.0,1,415.7,54,415.7,1
12582.0,2,511.36,46,255.68,1
12583.0,5,3042.39,8,608.478,0
12584.0,1,463.63,88,463.63,0
12585.0,2,2040.1,42,1020.05,1
12590.0,2,9864.26,19,4932.13,1
12591.0,1,452.84999999999997,125,452.84999999999997,1
12592.0,1,231.8,21,231.8,1
12593.0,1,236.0,26,236.0,0
12594.0,6,1764.99,0,294.165,0
12596.0,1,269.95,50,269.95,1
12597.0,1,516.15,76,516.15,0
12598.0,3,1285.74,28,428.58,0
